ヒット文字列,出現数,法令名,XML_Num属性,タグ名,文脈スニペット
八八東,3,排他的経済水域及び大陸棚に関する法律第二条第二号の海域を定める政令,1,Sentence,（２２０）　北緯二七度二二分四二秒・四一八八東経一四八度四一分六秒・九八五五の点
百三に,3,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則,246_1,Sentence,示す証明書は、薬事監視員については様式第百三によるものとし、麻薬取締官又は麻薬取締員に
一一〇Ｇ,3,無線局免許手続規則,5_4,Sentence,登録検査等事業者における点検による確認（一一〇ＧＨｚを超える周波数の電波を使用する無線設
五超,3,人事院規則九―四〇（期末手当及び勤勉手当）,2_1,Sentence,秀な職員」と、「百分の四十五超」とあるのは「百分の四十超」と、「、百分
・九Ｓ,3,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則,10_307,Sentence,五―［（一Ｓ・二Ｓ）―二―［（三Ｓ・六Ｓ・九Ｓ・一一Ｒ・一五Ｓ・一八Ｓ・二〇Ｒ・二一Ｒ
〇・四五メ,3,消防法施行規則,13_2_4_1_5,Sentence,プリンクラーヘッドのデフレクターから下方〇・四五メートル（易燃性の可燃物を収納する部分に設
十七月,3,防衛省の職員の給与等に関する法律施行令,4_2,Sentence,理府令で定める期間を増減した期間）のうち十七月をこえない期間
〇〇〇、,3,特別交付税に関する省令,5_1_3_1,Sentence,区域内の市町村にあつては、当該額が六〇、〇〇〇、〇〇〇円を超えるときは、六〇、〇〇〇、〇
二百八十七号,3,厚生労働省組織令,133_2,Sentence,疾病・障害認定審査会令（平成十二年政令第二百八十七号）の定めるところによる。
六十秒,3,消防法施行規則,24_1_7_1,Sentence,設定された蓄積時間の最大時間の合計時間が六十秒を超えないこと。
〇五パ,3,輸出貿易管理令別表第一及び外国為替令別表の規定に基づき貨物又は技術を定める省令,9_1_16_7,Sentence,水酸化物イオンの含有量が全重量の〇・〇〇〇五パーセント未満のもの
五〇万,3,大気汚染防止法施行規則,,Sentence,壁型放射過熱器を有するもの（排出ガス量が五〇万立方メートル以上であり、かつ、最大連続蒸
一題,3,公職選挙法施行規則,19_7,Sentence,上の発行本社を設けてそれぞれ同一題号の新聞を発行している場合又は二以上の新
・三］,3,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則,10_1064,Sentence,（一Ｅ・三ＲＳ）―一―（ベンゾ［ｄ］［一・三］ジオキソール―五―イル）―四・四―ジメチ
三担,3,地方出入国在留管理局組織規則,7_2,Sentence,一号（在留調査担当及び就労審査第三担当が分担する事務を除く。）及び第三十八号
二二五）,3,海洋汚染等及び海上災害の防止に関する法律施行令,38,Sentence,ロペンタフルオロプロパン（別名ＨＣＦＣ―二二五）
四隅,3,危険物の規制に関する規則,24_3_1_1_3,Sentence,移動貯蔵タンクの両側面の上部の四隅に、それぞれ当該移動貯蔵タンクの前端又は
〇・七五％,3,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則,10_586,Sentence,ミノイソプロピルアザフエノチアジンとして〇・七五％以下を含有する外用剤
千五百五十円,3,道路交通法施行令,6_1,Sentence,五十円（」とあるのは「千三百円（」と、「千五百五十円」とあるのは「千五百円」と、同表講習手数
〇〇四二％,3,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則,10_256,Sentence,ジエニリデン）プロピルアミンとして〇・〇〇〇四二％以下を含有する体外診断薬を除く。
七十七人,3,財務省組織規則,232_1,Sentence,支局を通じて理財部に、上席金融証券検査官七十七人以内及び金融証券検査官四百九十三人以内を
九三―,3,個人企業経済調査規則,5_1_14,Sentence,ービス業（他に分類されないもの）（中分類九三―政治・経済・文化団体、中分類九四―宗教及
千ニ,3,金属製避難はしごの技術上の規格を定める省令,8_1,Sentence,その縦棒について、それぞれ千ニュートン）の圧縮荷重（下部を折りたたむこ
三十九、,3,船舶設備規程,5_1,Sentence,第百四十六条の三十八の四、第百四十六条の三十九、第百四十六条の五十、第百八十三条の二第一
六色,3,明治十四年太政官布告第六十三号（褒章条例）,7_1,Sentence,種類ニ依リ紅緑黄紫藍紺六色ノ別アリ
十六番,3,公職選挙法,322_3,Sentence,る。）、大字安行領在家（百十三番地から百十六番地まで及び二百二十六番地から二百八十二番
四百一分,3,自動車重量譲与税法,3_1,Sentence,についてはそれぞれ同表の下欄に掲げる額の四百一分の六十八に相当する額を譲与する。
一九、,3,輸出貿易管理令,1,Sentence,ただし、別表第一の三三、八八及び八九、一一九、一三三並びに一三三の二から一三三の四まで
三百億,3,昭和五十九年度の財政運営に必要な財源の確保を図るための特別措置等に関する法律,5_1,Sentence,、前事業年度の損益計算上生じた利益のうち三百億円に相当する金額を昭和六十年三月三十一日
三雲,3,下級裁判所の設立及び管轄区域に関する法律,,Sentence,嬉野地域振興局及び三雲地域振興局の各所管区域
一〇東,3,排他的経済水域及び大陸棚に関する法律第二条第二号の海域を定める政令,1,Sentence,（２４５）　北緯二七度一六分四八秒・九五一〇東経一四八度四七分二九秒・七五〇七の点
五五分,3,港則法施行令,,Sentence,日和山三角点（三二メートル）（北緯三八度五五分一一秒東経一三九度四九分四九秒）から三二
一八分,3,港則法施行令,,Sentence,苫前岬三角点（六〇メートル）（北緯四四度一八分三四秒東経一四一度三九分三秒）を中心とす
五十八歳,3,厚生年金保険法施行規則,2,Sentence,たものを除く。）について適用し、同日前に五十八歳に達した同項の被保険者については、なお従
一瓶,3,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則,7_42,Sentence,ツプル茎搾汁精製物及びその製剤。ただし、一瓶中にタンパク質としてパイナツプル茎搾汁精
三百八十二号,3,独立行政法人等登記令,2_1,Sentence,年金福祉事業団登記令（昭和三十六年政令第三百八十二号）
一・五ｍ,3,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則,10_1133,Sentence,シメチル）―ピロリジニウムメチルブロミド一・五ｍｇ以下を含有するものを除く。
二二〇Ｍ,3,無線設備規則,49_20_1_3_3,Sentence,五、一八〇ＭＨｚ、五、二〇〇ＭＨｚ、五、二二〇ＭＨｚ、五、二四〇ＭＨｚ、五、二六〇ＭＨｚ
一・三ミ,3,人事院規則一〇―五（職員の放射線障害の防止）,3_3_1,Sentence,外部放射線による実効線量が、三月間につき一・三ミリシーベルトを超えるおそれのある区域
六労,3,労働基準法,39_2,Sentence,六労働日
三十六箇,3,船員法,93_1,Sentence,土交通省令の定める遺族に標準報酬の月額の三十六箇月分に相当する額の遺族手当を支払わなけれ
五二〇六・四二号,3,関税暫定措置法,,Sentence,・三五号の一、第五二〇六・四一号の一、第五二〇六・四二号の一、第五二〇六・四三号の一、第五二〇六
四八東,3,排他的経済水域及び大陸棚に関する法律第二条第二号の海域を定める政令,1,Sentence,（１０５）　北緯二七度二九分二九秒・五八四八東経一四七度四八分三秒・一六二二の点
・九五平,3,児童福祉施設の設備及び運営に関する基準,2_1,Sentence,号中「四人」とあるのは「十五人」と、「四・九五平方メートル以上とすること。ただし、乳幼児
二Ｘ,3,電波法施行規則,2_2,Sentence,Ａ二Ａ電波、Ａ二Ｂ電波、Ａ二Ｄ電波又はＡ二Ｘ電波を使用する無線局（変調波を電
二十九並,3,電波法,4_6,Sentence,新法第三十八条の二十二（新法第三十八条の二十九並びに第三十八条の三十一第四項及び第六項に
十五デ,3,風俗営業等の規制及び業務の適正化等に関する法律施行令,11_2,Sentence,条の風俗営業者に係る振動に係る数値は、五十五デシベルを超えない範囲内において定めるもの
三七秒,3,港湾法施行令,,Sentence,（７）　砂津防波堤灯台（北緯三三度五三分三七秒東経一三〇度五三分三八秒）から二二度二、
二十一秒,3,海洋水産資源開発促進法施行令,,Sentence,点、北緯三十一度十分十三秒東経百三十一度二十一秒の点、北緯三十一度十分十三秒東経百三十一
一八・二〇ｍ,3,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則,10_564,Sentence,一―メチル―四―ピペリジルエステルとして一八・二〇ｍｇ以下を含有する内用剤を除く。
